,Price,Prod. year,Leather interior,Mileage,Cylinders,Airbags,Class_High,Class_Highest,Class_Low,Class_Lowest,Class_MidHigh,Class_MidLow,CNG,Diesel,Hybrid,Hydrogen,LPG,Plug-in Hybrid,turbo,Manual,Tiptronic,Variator,Right wheel,Expensive_color
0,13328,2010,1,0.532526168,0.333333333,0.75,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1,11726,2014,1,0.263109526,0.2,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,26657,2007,1,0.367891253,0.333333333,0.75,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,18826,2012,1,0.322498912,0.2,0.25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,14454,2011,1,0.454601933,0.2,0.25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6899,2000,1,0.57259339,0.466666667,0.375,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,19121,2012,1,0.29628845,0.2,0.25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,16935,2013,0,0.237626257,0.2,0.5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
8,34657,2014,1,0.442820824,0.2,0.25,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9,30063,2015,1,0.42401972,0.2,0.25,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10,15800,2011,1,0.731362085,0.2,0.25,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
11,42337,2016,1,0.214722521,0.2,0.375,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
12,18189,2012,0,0.501019216,0.2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,15681,2010,1,0.788003023,0.466666667,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,10663,2007,0,0.911568677,0.2,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,12858,2016,0,0.306337464,0.2,0.125,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
16,25591,2013,1,0.245367719,0.2,0.25,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17,11604,2014,1,0.991932159,0.2,0.25,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
18,20071,2008,0,0.386500538,0.2,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,11604,2014,1,0.758319782,0.2,0.25,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
20,1568,2014,1,0.235885573,0.2,0.75,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
21,11290,2016,1,0.801020934,0.2,0.25,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
22,21395,2012,1,0.475664781,0.2,0.25,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
23,15681,2016,1,0.740666728,0.2,0.25,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
24,35927,2013,1,0.392990884,0.2,0.25,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
25,36110,2017,1,0.079384348,0.333333333,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
26,43880,2016,1,0.325519342,0.2,0.25,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
27,9408,2003,0,0.520848125,0.2,0.125,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
28,627,2014,1,0.470923708,0.333333333,0.75,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,7840,2004,0,0.486704381,0.2,0.25,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
30,13172,2002,0,0.744371407,0.2,0.375,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
31,25716,2014,0,0.329813793,0.2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,10820,2001,0,0.260529992,0.2,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
33,12231,2014,0,0.188955819,0.2,0.25,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0
34,26594,2014,1,0.515099288,0.2,0.25,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35,26343,2016,1,0.083026042,0.2,0.5,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
36,10349,2003,0,0.515334051,0.2,0.375,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
37,8154,2002,0,0.329241199,0.2,0.4375,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
38,4704,2013,1,0.650955658,0.2,0.75,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
39,18189,2010,1,0.349281968,0.2,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,9000,2011,0,0.360733836,0.2,0.375,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
41,7683,2006,1,0.57259339,0.2,0.125,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
42,15524,2008,1,0.162527771,0.2,0.25,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
43,549,2017,1,0.307445432,0.2,0.75,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
44,6272,2000,0,0.372185703,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
45,4924,2007,1,0.52656547,0.2,0.25,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
46,43576,2016,1,0.278077117,0.2,0.25,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
47,13172,2010,1,0.532526168,0.333333333,0.75,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
48,7840,2000,1,0.730056572,0.333333333,0.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
49,1176,2014,1,0.391178626,0.2,0.75,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,11290,2013,0,0.415130208,0.2,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
51,36065,2016,1,0.111655711,0.2,0.75,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
52,7840,2009,1,0.400815373,0.2,0.25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
53,24198,2013,1,0.355007902,0.2,0.25,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
54,4704,2007,1,0.155398983,0.2,0.25,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
55,26372,2013,1,0.345084858,0.2,0.25,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
56,18503,2012,0,0.80300497,0.2,0.5625,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
57,17054,2011,1,0.680965278,0.2,0.25,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
58,18817,2009,1,0.659627585,0.2,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,17249,2016,0,0.220448455,0.2,0.625,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
60,15530,2016,1,0.801676553,0.2,0.25,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
61,11290,2016,1,0.77550331,0.2,0.25,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
62,18669,2011,1,0.150838277,0.2,0.25,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
63,37000,2016,1,0.229037356,0.2,0.25,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
64,18826,2011,1,0.533691395,0.2,0.25,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
65,18826,2010,1,0.343556034,0.2,0.25,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
66,21012,2015,0,0.254804059,0.2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
67,7370,2000,0,0.744371407,0.2,0.375,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
68,4391,2006,0,0.898971622,0.133333333,0.125,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
69,17876,2013,1,0.343556034,0.2,0.625,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
70,23521,2012,1,0.237626257,0.2,0.625,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
71,12544,2011,0,0.815023705,0.2,0.75,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72,13485,2015,1,0.207190055,0.2,0.25,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
73,20005,2012,1,0.422911752,0.2,0.25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
74,14009,2015,1,0.393228511,0.2,0.25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
75,25716,2016,1,0.186092852,0.2,0.75,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
76,18817,2011,1,0.458074712,0.2,0.75,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
77,9879,2013,0,0.392226472,0.2,0.375,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
78,29166,2014,1,0.363596803,0.2,0.5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
79,19444,2015,1,0.293167816,0.2,0.5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
80,17876,2012,0,0.367046678,0.2,0.625,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
81,12544,2004,1,0.588339708,0.333333333,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
82,28830,2015,1,0.195377454,0.2,0.25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
83,16621,2011,1,0.341778132,0.333333333,0.75,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
84,11917,2012,1,0.228318751,0.2,0.25,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
85,16151,2012,0,0.317760702,0.2,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
86,7840,2013,1,0.188924326,0.2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
87,10976,2014,0,0.286296695,0.2,0.5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0
88,4547,2008,1,0.612669201,0.333333333,0.75,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
89,19130,2010,1,0.480978448,0.2,0.75,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
90,12858,2008,0,0.602517121,0.2,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
91,4861,2014,1,0.393165525,0.2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
92,8467,2001,1,0,0.333333333,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
93,12544,2010,1,0.314926364,0.2,0.375,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
94,10976,2004,0,0.254804059,0.2,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
95,10976,2014,0,0.346419001,0.2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
96,7840,2003,1,0.744371407,0.333333333,0.5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
97,12231,2015,1,0.997703901,0.2,0.25,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
98,11917,2002,1,0.575456357,0.333333333,0.5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
99,11563,2010,1,0.374516159,0.2,0.25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
100,15681,2002,0,0.400815373,0.2,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
